제목,예상금액,예상기간,설명,마감,지원자 수,카테고리,서브카테고리,스킬,링크
솔루션 기반 수산물 온라인 입점 쇼핑몰 제작,"예상금액 15,000,000원",예상기간 45일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 주 2회 예상 시작일 : - 2020년 06월 08일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행 ...",마감 2주 전,총 6명 지원,개발 >,"커머스, 쇼핑몰","javascript, HTML5, CSS3",https://www.wishket.com/project/_90788/
경영 상태 확인 시뮬레이터 웹 프로그램 개발,"예상금액 25,000,000원",예상기간 90일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 : - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 필요시 요청 <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 필요한 내용들을 간단히 정리해두었습니다. 상세 기획 상태 : - 제안요청서 프로젝트 인력 상 ...",마감 2주 전,총 7명 지원,개발 >,애플리케이션,"HTML5, javascript, SERVER",https://www.wishket.com/project/_90806/
협회 반응형 홈페이지 및 회원사 전용 시스템 구축,"예상금액 30,000,000원",예상기간 100일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 26일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 : - 신규 프로젝트를 진행하려 합니다. ...",마감 1주 6일 전,총 17명 지원,개발 >,웹,"Photoshop, HTML5, javascript",https://www.wishket.com/project/_90765/
소비 솔루션 서비스 프론트엔드 리뉴얼 개발,"예상금액 2,300,000원",예상기간 21일,"<프로젝트 진행 방식> 사전 미팅 방식 온라인 (카카오톡, 화상미팅 등) 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 15일 <프로젝트의 현재 상황> 기획 상태 : - 상세한 기획 문서가 존재합니다. 상세 기획 상태 : - 기획 및 디자인 - 퍼블리싱 결과물 ...",마감 1주 6일 전,총 3명 지원,개발 >,웹,"JSP, javascript, Java",https://www.wishket.com/project/_90748/
B2B 온라인 경매 사이트 제작,"예상금액 24,000,000원",예상기간 60일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 06월 01일 정부지원을 받아 진행되는 프로젝트로 아래 조건이 모두 가능한 파트너와 계약이 가능합니다. 1) IT 관련 업종, 업력 1년 이상의 개인 사업자 또는 법인 사업자 2 ...",마감 1주 6일 전,총 12명 지원,개발 >,웹,"기획, Photoshop, HTML5",https://www.wishket.com/project/_90743/
블록체인을 활용한 교육 플랫폼 dapp 제작,"예상금액 70,000,000원",예상기간 180일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 주 1회 예상 시작일 : - 2020년 06월 10일 <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 : - 아이디어만 있습니다. - 기존에 개발한 앱이 있으나 dap ...",마감 1주 6일 전,총 7명 지원,개발 >,애플리케이션,"기획, Photoshop, Android",https://www.wishket.com/project/_90757/
마사지 정보 제공 웹 서비스 제작,"예상금액 5,000,000원",예상기간 30일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 협의 필요 - 미팅 주기: 주 2회 예상 시작일 : - 2020년 05월 30일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 ...",마감 1주 6일 전,총 8명 지원,개발 >,웹,"Photoshop, HTML5, javascript",https://www.wishket.com/project/_90779/
오픈마켓 API 연동 업로드 프로그램 개발,"예상금액 1,500,000원",예상기간 15일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 온라인 (카카오톡, 화상미팅 등) - 미팅 주기: 주 1회 예상 시작일 : - 2020년 05월 25일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. 기획 상태 : ...",마감 1주 5일 전,총 1명 지원,개발 >,일반 소프트웨어,"HTML5, javascript",https://www.wishket.com/project/_90747/
통합관리 대시보드 퍼블리싱 및 프론트 개발,"예상금액 45,000,000원",예상기간 270일,"[ 본 프로젝트는 클라이언트가 위시켓 이용요금을 부담합니다. ] [ 발주사와 클라이언트와의 계약이 완료된 상태입니다. ] <프로젝트 진행 방식> 고객사 사무실에서 상주하여 근무가 가능한 개발자 1명, 퍼블리셔 1명을 모집하고 있습니다. - 근무 방식 : 주 5일 출근(상주) - 프로젝트 대금 지급 : 월 단위 지급 모집 인원 : 2명(퍼블리셔 1명, 프론트 ...",마감 1주 3일 전,총 3명 지원,개발 >,웹,"javascript, HTML5, CSS3",https://www.wishket.com/project/_90713/
부품 및 장비 수발주 관리 ERP 시스템 구축,"예상금액 30,000,000원",예상기간 90일,"<프로젝트 진행 방식> 사전 미팅 방식 : - 오프라인 진행 중 미팅 - 미팅 방식: 오프라인 - 미팅 위치: 클라이언트 사무실 - 미팅 주기: 필요시 요청 예상 시작일 : - 2020년 05월 25일 착수 시점 : - 계약 체결 이후, 즉시 시작하길 희망합니다. <프로젝트의 현재 상황> 프로젝트 진행 분류 - 신규 프로젝트를 진행하려 합니다. ...",마감 1주 3일 전,총 20명 지원,개발 >,웹,"Java, spring, mariadb",https://www.wishket.com/project/_90721/
